IDJogo;DataHora;PontosCasa;PontosVisitante;IDEstadio;IDTimeCasa;IDTimeFora
548;02/01/2023 01:00;0;0;16;17;30
549;02/01/2023 01:00;0;0;8;8;2
550;02/01/2023 20:00;0;0;19;20;24
551;03/01/2023 00:00;0;0;4;4;14
552;03/01/2023 00:00;0;0;6;6;5
553;03/01/2023 00:00;0;0;12;12;28
554;03/01/2023 00:00;0;0;22;23;19
555;03/01/2023 00:30;0;0;3;3;27
556;03/01/2023 01:00;0;0;11;11;7
557;03/01/2023 01:00;0;0;17;18;8
558;03/01/2023 03:00;0;0;10;10;1
559;03/01/2023 03:00;0;0;24;25;9
560;03/01/2023 03:30;0;0;13;13;16
561;04/01/2023 01:00;0;0;16;17;30
562;04/01/2023 01:00;0;0;20;21;2
563;04/01/2023 02:00;0;0;28;29;26
564;05/01/2023 00:00;0;0;4;4;15
565;05/01/2023 00:00;0;0;6;6;24
566;05/01/2023 00:00;0;0;21;22;21
567;05/01/2023 00:00;0;0;22;23;12
568;05/01/2023 00:30;0;0;19;20;27
569;05/01/2023 00:30;0;0;27;28;17
570;05/01/2023 01:00;0;0;5;5;3
571;05/01/2023 01:00;0;0;17;18;25
572;05/01/2023 01:00;0;0;18;19;11
573;05/01/2023 03:00;0;0;10;10;9
574;05/01/2023 03:00;0;0;13;14;16
575;05/01/2023 03:00;0;0;25;26;1
576;06/01/2023 00:00;0;0;21;22;15
577;06/01/2023 00:30;0;0;7;7;2
578;06/01/2023 01:00;0;0;11;11;29
579;06/01/2023 03:00;0;0;8;8;13
580;07/01/2023 00:00;0;0;12;12;25
581;07/01/2023 00:30;0;0;22;23;5
582;07/01/2023 00:30;0;0;27;28;20
583;07/01/2023 01:00;0;0;16;17;4
584;07/01/2023 01:00;0;0;20;21;30
585;07/01/2023 01:00;0;0;26;27;9
586;07/01/2023 01:30;0;0;18;19;3
587;07/01/2023 02:00;0;0;17;18;13
588;07/01/2023 02:00;0;0;8;8;6
589;07/01/2023 03:00;0;0;23;24;16
590;07/01/2023 03:30;0;0;13;14;1
591;07/01/2023 23:00;0;0;26;27;2
592;08/01/2023 01:00;0;0;5;5;29
593;08/01/2023 01:00;0;0;7;7;19
